Name,Type,Latitude,Longitude
Dr Ambedkar Chowk Agra Fort metro station, metro station ,27.18372705332815, 78.01990941680712
Taj Mahal metro station , metro station, 27.181922986442068, 78.03478185064077
Fatehabad Road Metro Station, metro station, 27.18011889038465, 78.08953944793733
Agra College metro station ,metro station ,27.201164862350517, 78.00300892381436
RBS College Metro Station, metro station ,27.213189348627164, 77.9807002730639
Agra Cantt Railway Station, railway station , 27.169782073742702, 77.9933555847023
Tdgah railway station, railway station , 27.18688538053277, 77.99953539394308
Agra fort railway station, railway station, 27.19787897897012, 78.01876146713656
Isbt Government Bus stand Agra, bus stand, 27.21199128297934, 77.97777548909656
Idgah Bus Stand,Bus Stand, 27.17076491893312, 77.99597159408324
Agra bus stop, bust stand , 27.177026199910923, 78.00815955119697